"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1301","logoutTest","Surefire suite","2026-07-11","passed","2026-07-11","tests.TestClass","Surefire test","tests.TestClass","logoutTest"
"","1319","validLoginTest","Surefire suite","2026-07-11","passed","2026-07-11","tests.TestClass","Surefire test","tests.TestClass","validLoginTest"
"","1379","invalidLoginTest","Surefire suite","2026-07-11","passed","2026-07-11","tests.TestClass","Surefire test","tests.TestClass","invalidLoginTest"
