"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","875","validLoginTest","Surefire suite","2026-07-11","passed","2026-07-11","tests.TestClass","Surefire test","tests.TestClass","validLoginTest"
"","933","invalidLoginTest","Surefire suite","2026-07-11","passed","2026-07-11","tests.TestClass","Surefire test","tests.TestClass","invalidLoginTest"
"","1208","logoutTest","Surefire suite","2026-07-11","passed","2026-07-11","tests.TestClass","Surefire test","tests.TestClass","logoutTest"
